loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
1470,2.0, Graduate, Yes,6900000.0,13900000,8.0,829,14300000,8100000,22400000,4600000, Approved
1471,3.0, Not Graduate, No,,11100000,6.0,312,4800000,3800000,10100000,3300000, Rejected
1472,3.0, Not Graduate, No,6600000.0,21400000,10.0,467,15200000,6000000,20300000,5200000, Rejected
1473,1.0, Graduate, Yes,5200000.0,14300000,18.0,650,5400000,2300000,17600000,3600000, Approved
1474,3.0, Graduate, Yes,400000.0,1100000,6.0,711,100000,300000,1400000,100000, Approved
1475,4.0, Not Graduate, No,1300000.0,4100000,18.0,886,2800000,500000,3800000,600000, Approved
1476,5.0, Not Graduate, No,9700000.0,28400000,4.0,494,5300000,12000000,24400000,10000000, Rejected
1477,2.0, Graduate, Yes,5400000.0,10900000,14.0,741,1300000,6000000,20400000,5600000, Approved
1478,4.0,, No,1200000.0,3300000,12.0,876,400000,100000,3800000,1000000, Approved
1479,0.0, Graduate, Yes,7000000.0,26400000,14.0,610,14300000,0,13900000,5300000, Approved
1480,5.0, Graduate, No,7600000.0,26000000,6.0,778,12900000,2400000,25500000,10900000, Approved
1481,5.0, Graduate, Yes,700000.0,1800000,14.0,571,200000,400000,1900000,400000, Approved
1482,3.0, Graduate, Yes,7500000.0,25100000,18.0,554,12500000,7900000,28500000,4700000, Approved
1483,0.0, Not Graduate, Yes,2300000.0,6200000,8.0,712,6800000,1700000,8800000,1500000, Approved
1484,5.0, Not Graduate, Yes,5600000.0,11500000,4.0,695,9500000,7100000,11700000,7800000, Approved
1485,0.0, Not Graduate, Yes,5400000.0,10900000,20.0,366,3700000,500000,21000000,4800000, Rejected
1486,1.0, Not Graduate, Yes,1800000.0,5500000,10.0,426,5000000,1500000,5900000,1600000, Rejected
1487,0.0, Not Graduate, No,2900000.0,6900000,10.0,320,5100000,500000,7700000,1500000, Rejected
1488,3.0, Not Graduate, Yes,1400000.0,4600000,8.0,543,1500000,1200000,2700000,2000000, Rejected
1489,2.0, Graduate, No,2800000.0,11000000,16.0,525,8200000,1800000,5800000,2400000, Rejected
1490,0.0, Not Graduate, Yes,3300000.0,13100000,12.0,812,4800000,4900000,7500000,4300000, Approved
1491,0.0, Not Graduate, No,7000000.0,25300000,14.0,697,15100000,10400000,14300000,6700000, Approved
1492,1.0, Not Graduate, No,3900000.0,15100000,12.0,527,10600000,5100000,11100000,3800000, Rejected
1493,1.0, Not Graduate, No,5700000.0,17200000,4.0,512,4300000,7000000,21400000,3000000, Approved
1494,0.0, Graduate, No,4100000.0,9200000,4.0,671,3400000,6300000,10400000,4900000, Approved
1495,1.0, Graduate, Yes,2200000.0,8700000,20.0,539,1000000,4000000,8200000,2600000, Rejected
1496,5.0, Not Graduate, No,2200000.0,7200000,10.0,532,2700000,300000,7500000,1600000, Rejected
1497,3.0, Not Graduate, Yes,2500000.0,7700000,16.0,485,2000000,3600000,5600000,3200000, Rejected
1498,0.0, Not Graduate, Yes,900000.0,2100000,6.0,521,100000,1700000,2100000,700000, Rejected
1499,1.0, Not Graduate, No,2900000.0,7400000,10.0,874,400000,1200000,10100000,3300000, Approved
1500,, Not Graduate, No,9800000.0,22900000,10.0,788,1300000,10300000,27200000,14000000, Approved
1501,2.0, Not Graduate, No,5200000.0,14800000,12.0,659,11500000,5200000,18100000,4100000, Approved
1502,1.0, Graduate, Yes,8600000.0,19600000,16.0,498,14800000,3000000,21000000,5300000, Rejected
1503,2.0, Graduate, Yes,4800000.0,13200000,20.0,310,11800000,4600000,12900000,4200000, Rejected
1504,0.0, Graduate, No,2000000.0,4700000,6.0,785,2900000,1800000,6700000,1700000, Approved
1505,0.0, Graduate, No,3600000.0,8700000,10.0,309,6300000,1000000,8600000,3300000, Rejected
1506,3.0, Not Graduate, Yes,5300000.0,19600000,,433,14700000,9900000,10800000,3000000, Approved
1507,, Not Graduate, Yes,400000.0,1300000,18.0,801,100000,0,1500000,600000, Approved
1508,3.0, Graduate, Yes,6500000.0,22400000,6.0,488,16800000,11700000,21700000,6800000, Rejected
1509,0.0, Not Graduate, Yes,2300000.0,6000000,16.0,756,2900000,2100000,7500000,1200000, Approved
1510,3.0, Graduate, No,1000000.0,2800000,4.0,757,2500000,100000,3800000,900000, Approved
1511,5.0, Not Graduate, No,3200000.0,10100000,6.0,828,8500000,6000000,8700000,3000000, Approved
1512,3.0, Graduate, Yes,3400000.0,7200000,12.0,733,4800000,2700000,8100000,2200000, Approved
1513,0.0, Not Graduate, No,9600000.0,38200000,8.0,421,1600000,14100000,33600000,13800000, Rejected
1514,3.0, Not Graduate, No,5300000.0,20300000,4.0,872,4300000,7300000,18400000,7600000, Approved
1515,3.0, Graduate, No,4700000.0,17400000,10.0,393,12400000,5300000,18700000,5300000, Rejected
1516,3.0, Graduate, No,9700000.0,37800000,12.0,700,13400000,6100000,25800000,11900000, Approved
1517,5.0, Graduate, No,8800000.0,21600000,18.0,613,15400000,12100000,30000000,8400000, Approved
1518,5.0, Graduate, No,5900000.0,13400000,6.0,455,3200000,11200000,21600000,6900000, Rejected
1519,4.0, Graduate, Yes,2400000.0,7100000,16.0,871,7000000,300000,8500000,3500000, Approved
1520,4.0, Graduate, Yes,7900000.0,21500000,16.0,497,2200000,5200000,23100000,7700000, Rejected
1521,0.0, Graduate, No,1400000.0,2700000,2.0,649,2600000,1000000,5500000,1100000, Approved
1522,0.0, Graduate, Yes,3500000.0,10000000,14.0,709,5300000,1800000,9200000,5000000, Approved
1523,4.0, Graduate, No,3400000.0,13500000,12.0,705,10000000,1100000,8300000,4900000, Approved
1524,2.0, Graduate, No,6100000.0,23600000,2.0,476,4600000,2900000,22500000,3800000, Approved
1525,2.0, Not Graduate, Yes,3000000.0,7100000,4.0,819,5400000,4800000,6000000,2100000, Approved
1526,5.0, Not Graduate, Yes,3400000.0,9400000,16.0,535,3100000,5600000,12900000,3200000, Rejected
1527,0.0, Graduate, Yes,400000.0,1200000,14.0,889,1100000,200000,700000,200000, Approved
1528,0.0, Graduate, No,5900000.0,11800000,12.0,468,9100000,10000000,17500000,6200000, Rejected
1529,5.0, Graduate, Yes,400000.0,800000,2.0,759,100000,500000,1300000,300000, Approved
1530,3.0, Graduate, Yes,9000000.0,33600000,2.0,426,21600000,16200000,20700000,11900000, Approved
1531,0.0, Graduate, Yes,8800000.0,23600000,8.0,712,400000,11300000,19300000,11100000, Approved
1532,4.0, Graduate, Yes,2000000.0,4700000,2.0,615,500000,100000,6700000,3000000, Approved
1533,2.0, Graduate, No,4700000.0,14000000,12.0,784,13400000,2700000,14800000,6900000, Approved
1534,4.0, Not Graduate, No,2700000.0,6100000,16.0,677,100000,3300000,6500000,3800000, Approved
1535,1.0, Not Graduate, No,2600000.0,7900000,12.0,306,2000000,2400000,7600000,3300000, Rejected
1536,1.0, Not Graduate, Yes,9000000.0,25400000,16.0,655,22000000,8800000,29100000,7200000, Approved
1537,4.0, Not Graduate, No,5100000.0,19400000,8.0,755,2200000,300000,14900000,5300000, Approved
1538,2.0, Graduate, No,6600000.0,25800000,18.0,598,3800000,3100000,16400000,5900000, Approved
1539,2.0, Graduate, No,4400000.0,9800000,18.0,712,5400000,200000,8800000,6400000, Approved
1540,4.0, Not Graduate, Yes,1500000.0,4600000,6.0,524,3700000,2000000,5000000,1400000, Rejected
1541,1.0, Not Graduate, No,6200000.0,23100000,16.0,838,9100000,1400000,23500000,7000000, Approved
1542,4.0, Graduate, Yes,900000.0,2900000,6.0,560,1500000,900000,3100000,900000, Approved
1543,3.0, Not Graduate, No,7700000.0,26400000,12.0,759,3400000,2900000,21900000,10800000, Approved
1544,2.0, Graduate, Yes,600000.0,2400000,6.0,454,100000,600000,2300000,300000, Rejected
1545,4.0, Not Graduate, No,4300000.0,16500000,4.0,539,10600000,6100000,9300000,2100000, Approved
1546,2.0, Not Graduate, Yes,8200000.0,27800000,16.0,827,11500000,8700000,26000000,10700000, Approved
1547,0.0, Not Graduate, No,3500000.0,11900000,12.0,686,4400000,4800000,10100000,2500000, Approved
1548,1.0, Graduate, Yes,9900000.0,34100000,14.0,371,24400000,7100000,29300000,6200000, Rejected
1549,5.0, Graduate, No,700000.0,1900000,4.0,784,500000,1000000,2100000,600000, Approved
1550,1.0, Graduate, Yes,2100000.0,7300000,16.0,826,1600000,3500000,7700000,1400000, Approved
1551,2.0, Not Graduate, No,3200000.0,10500000,12.0,502,4300000,1500000,10000000,4500000, Rejected
1552,0.0, Graduate, No,2900000.0,7800000,8.0,367,700000,3700000,7700000,3600000, Rejected
1553,0.0, Not Graduate, No,7000000.0,18300000,6.0,541,6300000,6400000,20800000,8300000, Rejected
1554,1.0, Graduate, No,3700000.0,13600000,16.0,608,400000,2200000,13400000,2800000, Approved
1555,3.0, Not Graduate, Yes,4500000.0,13100000,12.0,570,10500000,2000000,10100000,5800000, Approved
1556,3.0, Graduate, No,200000.0,800000,18.0,752,200000,200000,300000,200000, Approved
1557,5.0, Not Graduate, Yes,5600000.0,20500000,8.0,873,5500000,9500000,19400000,7800000, Approved
1558,5.0, Graduate, No,5400000.0,18600000,2.0,538,7700000,2700000,18800000,4000000, Approved
1559,4.0, Not Graduate, No,300000.0,1000000,10.0,819,700000,300000,900000,200000, Approved
1560,1.0, Graduate, Yes,7500000.0,29800000,18.0,770,1400000,5200000,28000000,8700000, Approved
1561,5.0, Not Graduate, Yes,2500000.0,9600000,6.0,345,1900000,1900000,6800000,2600000, Rejected
1562,4.0, Graduate, Yes,3100000.0,8100000,12.0,730,6300000,4500000,9000000,4500000, Approved
1563,1.0, Graduate, Yes,7600000.0,19300000,20.0,835,5800000,2300000,22000000,8200000, Approved
1564,, Not Graduate, Yes,500000.0,1700000,2.0,811,500000,500000,1400000,200000, Approved
1565,2.0, Not Graduate, No,2700000.0,5900000,14.0,662,3200000,1600000,7300000,3800000, Approved
1566,2.0, Not Graduate, Yes,3500000.0,13300000,4.0,420,6400000,1700000,8000000,2300000, Approved
1567,5.0, Not Graduate, No,3700000.0,11700000,4.0,413,8400000,5500000,12000000,2700000, Approved
1568,2.0, Not Graduate, Yes,5600000.0,20000000,10.0,367,13700000,5000000,19100000,6000000, Rejected
1569,5.0, Not Graduate, Yes,4800000.0,16400000,14.0,390,8400000,2400000,9500000,4000000, Rejected
1570,4.0, Not Graduate, Yes,5200000.0,12200000,2.0,602,10300000,800000,20500000,7700000, Approved
1571,3.0, Graduate, No,2900000.0,11500000,16.0,843,2300000,2600000,10700000,4300000, Approved
1572,1.0, Graduate, No,2700000.0,6800000,20.0,713,500000,3300000,6100000,1900000, Approved
1573,3.0, Graduate, No,5000000.0,16200000,8.0,591,1900000,3400000,14000000,5000000, Approved
1574,2.0, Not Graduate, Yes,2700000.0,9400000,14.0,701,400000,3400000,9900000,1900000, Approved
1575,4.0, Not Graduate, Yes,2800000.0,10000000,12.0,655,4900000,3600000,8500000,3300000, Approved
1576,3.0, Not Graduate, Yes,7300000.0,20000000,18.0,720,15500000,9900000,23000000,9800000, Approved
1577,0.0, Graduate, Yes,5900000.0,15100000,10.0,794,6000000,4300000,14900000,5400000, Approved
1578,0.0, Graduate, No,8100000.0,21300000,2.0,392,14200000,6600000,31500000,11000000, Rejected
1579,3.0, Graduate, Yes,1900000.0,7100000,6.0,583,400000,2800000,6500000,2000000, Approved
1580,5.0, Graduate, No,1800000.0,6800000,18.0,457,2200000,1100000,3800000,1400000, Rejected
1581,0.0, Not Graduate, Yes,7600000.0,17800000,14.0,570,15200000,12100000,21500000,9900000, Approved
1582,1.0, Graduate, No,9100000.0,30100000,14.0,890,17800000,12400000,32500000,7500000, Approved
1583,2.0, Not Graduate, Yes,5300000.0,12300000,14.0,472,10000000,1600000,20400000,3300000, Rejected
1584,2.0, Not Graduate, No,3700000.0,10900000,12.0,788,1700000,700000,12200000,2600000, Approved
1585,0.0, Not Graduate, No,9500000.0,35300000,6.0,605,10000000,12700000,31100000,7000000, Approved
1586,3.0, Graduate, No,8300000.0,30500000,10.0,473,13300000,9400000,23300000,11800000, Rejected
1587,5.0, Graduate, No,6400000.0,21500000,16.0,728,300000,5200000,17400000,9600000, Approved
1588,5.0, Graduate, Yes,5300000.0,17800000,16.0,505,9200000,8500000,14600000,4100000, Rejected
1589,0.0, Graduate, Yes,5600000.0,19300000,6.0,407,3400000,3600000,14200000,8400000, Rejected
1590,1.0, Graduate, Yes,900000.0,1700000,18.0,464,1300000,0,1900000,700000, Rejected
1591,0.0, Graduate, Yes,2400000.0,7200000,20.0,514,4100000,2100000,6700000,1800000, Rejected
1592,1.0, Graduate, No,9500000.0,23000000,10.0,627,28500000,11500000,21700000,9100000, Approved
1593,2.0, Not Graduate, Yes,7400000.0,14900000,20.0,627,15900000,10100000,19000000,10300000, Approved
1594,4.0, Not Graduate, Yes,1500000.0,3200000,10.0,858,1500000,0,4700000,1700000, Approved
1595,3.0, Graduate, Yes,8800000.0,30200000,8.0,607,13600000,12700000,21500000,5900000, Approved
1596,5.0, Not Graduate, Yes,4900000.0,14300000,4.0,663,8500000,6100000,19600000,5500000, Approved
1597,1.0, Not Graduate, Yes,8100000.0,26900000,6.0,522,23000000,2100000,18700000,4200000, Rejected
1598,2.0, Not Graduate, Yes,2300000.0,9100000,20.0,610,3700000,600000,7800000,3400000, Approved
1599,5.0, Not Graduate, Yes,,6600000,16.0,462,5500000,3500000,9100000,3600000, Rejected
1600,2.0, Not Graduate, Yes,3900000.0,9300000,8.0,591,10900000,2700000,9600000,3300000, Approved
1601,4.0, Graduate, Yes,1700000.0,6500000,20.0,636,1700000,900000,6200000,2300000, Approved
1602,0.0, Not Graduate, Yes,2100000.0,4900000,10.0,359,1000000,800000,6100000,1000000, Rejected
1603,4.0, Graduate, Yes,9700000.0,25000000,4.0,542,9800000,12000000,29300000,13400000, Rejected
1604,5.0, Not Graduate, Yes,3500000.0,11800000,4.0,642,2300000,2900000,11900000,3600000, Approved
1605,5.0, Not Graduate, Yes,1500000.0,5500000,4.0,414,800000,1400000,2900000,1200000, Approved
1606,3.0, Not Graduate, Yes,8800000.0,26200000,20.0,865,19300000,9800000,27700000,12500000, Approved
1607,3.0, Graduate, No,900000.0,3100000,10.0,369,1400000,100000,1700000,500000, Rejected
1608,0.0, Graduate, Yes,3500000.0,10800000,14.0,838,4700000,6800000,13900000,1700000, Approved
1609,5.0, Not Graduate, No,5500000.0,21200000,4.0,582,12100000,8300000,17100000,3100000, Approved
1610,5.0, Not Graduate, Yes,9800000.0,23200000,10.0,416,11000000,17300000,21600000,8500000, Rejected
1611,5.0, Graduate, No,2100000.0,5500000,20.0,705,5400000,1400000,4600000,1200000, Approved
1612,, Graduate, No,1800000.0,5700000,18.0,306,500000,700000,5600000,1700000, Rejected
1613,5.0, Graduate, Yes,5800000.0,13000000,8.0,851,6700000,8700000,17700000,4100000, Approved
1614,5.0, Graduate, No,6700000.0,17200000,18.0,613,9700000,6800000,24600000,7100000, Approved
1615,3.0, Graduate, No,4300000.0,16300000,10.0,366,6900000,6700000,12300000,5500000, Rejected
1616,1.0, Graduate, No,1200000.0,2800000,12.0,431,900000,400000,2900000,900000, Rejected
1617,5.0, Not Graduate, Yes,9700000.0,25900000,2.0,754,9000000,10000000,28500000,6700000, Approved
1618,5.0, Graduate, Yes,5400000.0,11200000,10.0,447,300000,7900000,21400000,6000000, Rejected
1619,1.0, Not Graduate, Yes,5300000.0,14100000,14.0,510,13300000,10400000,18900000,7800000, Rejected
1620,1.0, Graduate, No,7300000.0,24200000,20.0,324,12900000,3700000,18400000,9000000, Rejected
1621,5.0, Graduate, No,9500000.0,19200000,2.0,523,13500000,1500000,21000000,6700000, Rejected
1622,0.0, Not Graduate, Yes,7200000.0,15600000,2.0,362,2700000,2400000,20800000,5900000, Rejected
1623,3.0, Graduate, Yes,9000000.0,32900000,6.0,657,9900000,600000,29200000,12000000, Approved
1624,5.0, Not Graduate, No,6500000.0,23300000,12.0,790,600000,9700000,15500000,9500000, Approved
1625,1.0, Graduate, Yes,9500000.0,30500000,18.0,500,1300000,3300000,20500000,5500000, Rejected
1626,2.0, Not Graduate, Yes,9900000.0,33200000,4.0,465,26300000,17000000,24400000,5000000, Approved
1627,4.0, Not Graduate, No,2900000.0,8700000,6.0,409,3700000,5500000,8200000,2200000, Rejected
1628,4.0, Graduate, Yes,700000.0,1800000,20.0,626,500000,600000,1400000,300000, Approved
1629,5.0, Not Graduate, No,4200000.0,13400000,16.0,545,9800000,8200000,12500000,3500000, Rejected
1630,3.0, Not Graduate, No,4200000.0,11400000,10.0,654,8800000,400000,16200000,5700000, Approved
1631,0.0, Not Graduate, No,7600000.0,26500000,6.0,515,6200000,14900000,22000000,4000000, Rejected
1632,2.0, Graduate, Yes,7100000.0,18800000,12.0,838,1100000,5200000,16600000,4900000, Approved
1633,1.0, Not Graduate, Yes,4700000.0,16000000,14.0,406,4000000,5300000,14300000,3300000, Rejected
1634,0.0, Graduate, Yes,9800000.0,23200000,10.0,573,23900000,3300000,23600000,14600000, Approved
1635,0.0, Graduate, Yes,9800000.0,38700000,2.0,611,6600000,10400000,33000000,6000000, Approved
1636,0.0, Not Graduate, No,5100000.0,13400000,16.0,649,6800000,1600000,15700000,3900000, Approved
1637,0.0, Not Graduate, Yes,3300000.0,7700000,12.0,775,8200000,2100000,7400000,4200000, Approved
1638,3.0, Graduate, No,4500000.0,12500000,12.0,469,4100000,7600000,14200000,3400000, Rejected
1639,0.0, Graduate, Yes,3900000.0,12800000,18.0,587,4500000,5300000,12600000,5000000, Approved
1640,3.0, Graduate, Yes,3200000.0,9900000,10.0,316,9100000,5500000,8800000,3600000, Rejected
1641,2.0, Graduate, No,3200000.0,10400000,10.0,556,8200000,5600000,11500000,4500000, Approved
1642,2.0, Not Graduate, No,9600000.0,31200000,12.0,578,9900000,2200000,26500000,13500000, Approved
1643,2.0, Not Graduate, Yes,8700000.0,18900000,2.0,554,3900000,1900000,18000000,11500000, Approved
1644,2.0, Not Graduate, Yes,1900000.0,6800000,6.0,892,2600000,2200000,6400000,900000, Approved
1645,2.0, Not Graduate, Yes,2900000.0,10200000,10.0,315,8100000,400000,6500000,1600000, Rejected
1646,0.0, Not Graduate, No,6200000.0,12900000,10.0,695,1900000,3700000,22200000,4200000, Approved
1647,0.0, Not Graduate, No,5900000.0,20300000,4.0,806,300000,3700000,16400000,4800000, Approved
1648,4.0, Not Graduate, Yes,3200000.0,12800000,8.0,638,4300000,2600000,8000000,3800000, Approved
1649,1.0, Not Graduate, Yes,1300000.0,5000000,4.0,610,3400000,800000,4500000,900000, Approved
1650,2.0, Not Graduate, Yes,1300000.0,3200000,4.0,810,3800000,2100000,4300000,800000, Approved
1651,1.0, Graduate, No,8700000.0,33200000,4.0,866,19600000,15900000,23700000,10500000, Approved
1652,3.0, Not Graduate, No,6300000.0,23800000,10.0,760,12700000,1300000,18400000,8800000, Approved
1653,3.0, Graduate, No,4300000.0,11200000,6.0,556,11000000,4300000,14500000,5100000, Approved
1654,, Not Graduate, Yes,,23500000,12.0,684,17200000,10300000,25300000,7400000, Approved
1655,5.0, Not Graduate, Yes,7700000.0,25800000,18.0,578,5000000,7700000,27200000,10600000, Approved
1656,2.0,, No,6900000.0,23900000,12.0,814,13000000,1900000,26600000,6000000, Approved
1657,0.0, Not Graduate, No,4200000.0,14800000,20.0,510,9200000,5700000,11900000,2600000, Rejected
1658,4.0, Not Graduate, No,3900000.0,9000000,2.0,674,8700000,5700000,14000000,3100000, Approved
1659,0.0, Graduate, Yes,2000000.0,4900000,14.0,570,3800000,300000,6600000,1300000, Approved
1660,1.0, Not Graduate, No,500000.0,1700000,2.0,680,700000,800000,1400000,700000, Approved
1661,0.0, Graduate, No,3500000.0,8800000,12.0,803,5400000,300000,8400000,3400000, Approved
1662,2.0, Not Graduate, Yes,3100000.0,10700000,16.0,357,9200000,1900000,7700000,3800000, Rejected
1663,3.0, Not Graduate, Yes,4900000.0,19000000,4.0,575,14100000,9100000,16500000,4600000, Approved
1664,1.0, Not Graduate, No,1000000.0,3600000,4.0,546,2500000,0,2600000,500000, Approved
1665,2.0, Graduate, No,6700000.0,21400000,8.0,370,3200000,11800000,20100000,8600000, Rejected
1666,1.0, Graduate, No,4100000.0,9400000,6.0,713,0,1000000,11100000,3100000, Approved
1667,4.0, Not Graduate, Yes,1600000.0,3800000,2.0,896,1200000,400000,4800000,2000000, Approved
1668,3.0, Graduate, Yes,2400000.0,9200000,14.0,626,300000,3600000,8500000,2000000, Approved
1669,0.0, Graduate, No,2200000.0,6400000,4.0,854,900000,1600000,6500000,1300000, Approved
1670,4.0, Graduate, No,3200000.0,8400000,18.0,802,400000,0,9100000,4700000, Approved
1671,4.0, Not Graduate, Yes,1600000.0,4400000,20.0,382,1700000,300000,5200000,1900000, Rejected
1672,2.0, Not Graduate, No,3900000.0,14900000,6.0,415,2200000,4300000,9500000,4600000, Rejected
1673,5.0, Graduate, Yes,2000000.0,6300000,4.0,366,5300000,2200000,5400000,2800000, Approved
1674,1.0, Graduate, Yes,7600000.0,25400000,10.0,595,7900000,400000,24900000,11000000, Approved
1675,1.0, Not Graduate, No,9800000.0,21300000,,356,23000000,12300000,25700000,14600000, Rejected
1676,5.0, Not Graduate, No,7900000.0,29900000,6.0,568,5800000,13900000,15900000,8700000, Approved
1677,1.0, Graduate, No,1600000.0,4000000,10.0,615,2200000,2700000,5500000,1400000, Approved
1678,1.0, Graduate, Yes,6400000.0,13900000,12.0,313,18600000,6300000,18600000,4900000, Rejected
1679,1.0, Graduate, Yes,6400000.0,17900000,6.0,575,6600000,7600000,23100000,5300000, Approved
1680,4.0, Graduate, No,1600000.0,5500000,10.0,577,400000,1200000,4100000,1400000, Approved
1681,0.0, Graduate, No,9200000.0,30700000,10.0,455,24900000,2000000,32900000,5200000, Rejected
1682,1.0, Not Graduate, No,7800000.0,24900000,6.0,500,15300000,10000000,16500000,4500000, Rejected
1683,1.0, Not Graduate, Yes,4000000.0,9400000,8.0,509,1000000,4100000,10800000,5500000, Rejected
1684,2.0, Not Graduate, Yes,6100000.0,19400000,8.0,379,5300000,10800000,14300000,4100000, Rejected
1685,5.0, Graduate, No,7100000.0,14500000,14.0,664,5300000,12900000,15700000,9200000, Approved
1686,0.0, Not Graduate, Yes,2500000.0,9900000,6.0,623,6000000,1800000,6200000,1800000, Approved
1687,5.0, Graduate, No,3200000.0,8700000,16.0,558,2600000,2500000,9100000,1800000, Approved
1688,4.0, Graduate, No,1700000.0,4300000,18.0,580,1500000,2400000,6600000,1700000, Approved
1689,4.0, Graduate, No,6300000.0,17600000,6.0,612,16000000,3300000,23500000,3200000, Approved
1690,4.0, Graduate, Yes,700000.0,2400000,14.0,705,0,100000,2000000,700000, Approved
1691,4.0, Graduate, Yes,1100000.0,2700000,18.0,301,2800000,1600000,3300000,1500000, Rejected
1692,1.0, Not Graduate, Yes,8900000.0,32000000,,711,4300000,1200000,22100000,5200000, Approved
1693,, Graduate, No,300000.0,700000,20.0,735,900000,200000,900000,400000, Approved
1694,1.0, Not Graduate, No,2200000.0,5200000,14.0,682,2600000,600000,6100000,1800000, Approved
1695,3.0, Not Graduate, No,3400000.0,13500000,10.0,348,7900000,3700000,8200000,4700000, Rejected
1696,0.0, Graduate, Yes,7900000.0,23500000,20.0,750,16800000,15300000,21200000,4000000, Approved
1697,3.0, Not Graduate, Yes,5800000.0,18200000,16.0,835,1000000,6100000,14600000,7900000, Approved
1698,0.0, Graduate, Yes,9400000.0,20000000,6.0,389,16000000,7100000,19400000,10200000, Rejected
1699,2.0,, No,4800000.0,18900000,4.0,866,10200000,6000000,13900000,5900000, Approved
1700,3.0, Not Graduate, No,7600000.0,26600000,4.0,689,5300000,600000,24300000,8600000, Approved
1701,0.0, Not Graduate, No,5900000.0,17600000,16.0,645,13000000,3100000,23400000,8600000, Approved
1702,1.0, Graduate, Yes,4300000.0,10100000,2.0,797,4400000,4500000,16300000,4700000, Approved
1703,5.0, Graduate, No,6100000.0,17800000,6.0,849,2900000,10900000,16100000,7800000, Approved
1704,5.0, Graduate, No,5400000.0,19700000,20.0,423,6500000,10000000,15700000,7300000, Rejected
1705,1.0, Not Graduate, Yes,5200000.0,11200000,2.0,370,9900000,10200000,16700000,6400000, Rejected
1706,5.0, Not Graduate, No,8500000.0,31300000,12.0,378,21400000,13100000,30400000,8800000, Rejected
1707,4.0, Not Graduate, No,900000.0,1900000,20.0,417,1000000,800000,2800000,900000, Rejected
1708,1.0, Not Graduate, No,1400000.0,4100000,20.0,530,1200000,1100000,3000000,1900000, Rejected
1709,1.0, Not Graduate, Yes,2400000.0,9300000,20.0,543,700000,800000,5000000,3400000, Rejected
1710,4.0, Graduate, No,6300000.0,15000000,18.0,750,800000,6500000,15400000,7700000, Approved
1711,1.0, Graduate, No,3100000.0,7600000,20.0,346,700000,4600000,8100000,4400000, Rejected
1712,4.0, Graduate, Yes,6900000.0,19000000,14.0,330,9300000,7100000,18800000,8400000, Rejected
1713,2.0, Not Graduate, Yes,3000000.0,7400000,10.0,712,5100000,1000000,11600000,3800000, Approved
1714,0.0, Not Graduate, No,3100000.0,10100000,14.0,376,6400000,2600000,11600000,4300000, Rejected
1715,4.0, Not Graduate, No,600000.0,1200000,14.0,338,500000,500000,2300000,500000, Rejected
1716,4.0,, Yes,4700000.0,13700000,14.0,600,12100000,8400000,17700000,5000000, Approved
1717,1.0, Graduate, No,2500000.0,6900000,20.0,495,4800000,3300000,5700000,3700000, Rejected
1718,0.0, Graduate, No,9700000.0,30400000,4.0,300,17100000,16600000,38100000,9200000, Approved
1719,4.0, Not Graduate, Yes,7600000.0,20000000,18.0,691,5000000,8700000,23400000,11200000, Approved
1720,1.0, Graduate, No,8400000.0,24700000,8.0,519,12900000,16700000,17300000,6000000, Rejected
1721,3.0, Graduate, Yes,3800000.0,15100000,20.0,540,9400000,1000000,9300000,3600000, Rejected
1722,3.0, Not Graduate, Yes,3100000.0,11400000,16.0,562,3600000,3600000,7200000,3100000, Approved
1723,2.0, Not Graduate, No,5700000.0,21300000,10.0,323,1600000,11200000,16200000,5100000, Rejected
1724,1.0, Graduate, Yes,5500000.0,19700000,10.0,312,12800000,4800000,19500000,3300000, Rejected
1725,1.0, Not Graduate, Yes,200000.0,600000,2.0,511,500000,100000,800000,200000, Approved
1726,3.0, Not Graduate, Yes,3700000.0,13800000,10.0,621,4000000,800000,11900000,5300000, Approved
1727,2.0, Not Graduate, Yes,1600000.0,4300000,20.0,512,3200000,2500000,6300000,900000, Rejected
1728,4.0, Graduate, No,3900000.0,11000000,2.0,786,7900000,1600000,10700000,2100000, Approved
1729,3.0, Not Graduate, Yes,700000.0,1600000,18.0,303,600000,500000,2000000,600000, Rejected
1730,3.0, Graduate, Yes,5800000.0,16700000,18.0,633,8100000,8400000,14700000,3700000, Approved
1731,4.0, Graduate, Yes,3800000.0,14000000,6.0,711,9500000,7300000,14500000,3100000, Approved
1732,2.0, Graduate, No,6400000.0,16900000,16.0,472,11100000,6000000,16300000,4500000, Rejected
1733,1.0, Graduate, Yes,5500000.0,12100000,4.0,350,6300000,9200000,17200000,6900000, Rejected
1734,1.0, Not Graduate, Yes,6800000.0,13700000,10.0,879,500000,2600000,22000000,6800000, Approved
1735,4.0, Not Graduate, No,6700000.0,13400000,10.0,436,3600000,1200000,23200000,7500000, Rejected
1736,1.0, Graduate, Yes,5300000.0,11500000,14.0,848,1300000,3600000,14700000,5700000, Approved
1737,2.0, Graduate, No,6600000.0,23200000,16.0,555,9900000,6500000,23300000,3300000, Approved
1738,2.0, Graduate, No,6600000.0,13100000,,885,10900000,4300000,20600000,6200000, Approved
1739,0.0, Not Graduate, No,7600000.0,25200000,6.0,888,12700000,10900000,24500000,7500000, Approved
